"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 90","306.05","322.56","326.53","295.98","-","-5.12%"
"Aug 90","322.56","356.15","357.35","306.18","-","-9.43%"
"Jul 90","356.15","358.02","369.78","350.09","-","-0.52%"
"Jun 90","358.02","361.26","368.78","351.23","-","-0.89%"
"May 90","361.23","330.80","362.26","330.80","-","9.20%"
"Apr 90","330.80","339.94","347.30","327.76","-","-2.69%"
"Mar 90","339.94","331.89","344.49","331.08","-","2.43%"
"Feb 90","331.89","329.08","336.09","322.10","-","0.85%"
"Jan 90","329.08","353.40","360.59","319.83","-","-6.88%"
"Dec 89","353.40","346.01","354.10","339.63","-","2.14%"
"Nov 89","345.99","340.36","346.50","330.91","-","1.65%"
"Oct 89","340.36","349.15","360.44","327.12","-","-2.52%"
"Sep 89","349.15","351.45","354.13","341.37","-","-0.65%"
"Aug 89","351.45","346.08","352.73","339.00","-","1.55%"
"Jul 89","346.08","317.98","346.08","317.26","-","8.84%"
"Jun 89","317.98","320.51","329.19","314.38","-","-0.79%"
"May 89","320.52","309.64","323.06","304.06","-","3.51%"
"Apr 89","309.64","294.87","310.45","294.35","-","5.01%"
"Mar 89","294.87","288.86","299.99","286.46","-","2.08%"
"Feb 89","288.86","297.47","300.57","286.26","-","-2.89%"
"Jan 89","297.47","277.72","297.51","273.81","-","7.11%"
"Dec 88","277.72","273.68","280.45","270.47","-","1.47%"
"Nov 88","273.70","278.97","280.37","262.85","-","-1.89%"
"Oct 88","278.97","271.89","283.95","268.84","-","2.60%"
"Sep 88","271.91","261.52","274.87","256.98","-","3.97%"
"Aug 88","261.52","272.03","274.20","256.53","-","-3.86%"
"Jul 88","272.02","273.50","276.36","262.48","-","-0.54%"
"Jun 88","273.50","262.16","276.88","262.10","-","4.33%"
"May 88","262.16","261.36","263.70","248.85","-","0.32%"
"Apr 88","261.33","258.89","272.05","254.71","-","0.94%"
"Mar 88","258.89","267.82","272.64","256.07","-","-3.33%"
"Feb 88","267.82","257.05","267.82","247.82","-","4.18%"
"Jan 88","257.07","247.10","261.78","240.17","-","4.04%"
"Dec 87","247.08","230.32","253.35","221.24","-","7.29%"
"Nov 87","230.30","251.73","257.21","225.75","-","-8.53%"
"Oct 87","251.79","321.83","328.94","216.46","-","-21.76%"
"Sep 87","321.83","329.81","332.18","308.56","-","-2.42%"
"Aug 87","329.80","318.62","337.89","314.51","-","3.50%"
"Jul 87","318.66","303.99","318.85","302.53","-","4.82%"
"Jun 87","304.00","290.12","310.27","286.93","-","4.79%"
"May 87","290.10","286.99","298.69","277.01","-","0.60%"
"Apr 87","288.36","291.59","303.65","275.67","-","-1.15%"
"Mar 87","291.70","284.17","302.72","282.30","-","2.64%"
"Feb 87","284.20","274.08","287.55","273.16","-","3.69%"
"Jan 87","274.08","242.17","280.96","242.17","-","13.18%"
"Dec 86","242.17","249.22","254.87","241.28","-","-2.83%"
"Nov 86","249.22","243.97","249.22","235.51","-","2.15%"
"Oct 86","243.98","231.32","244.51","231.32","-","5.47%"
"Sep 86","231.32","252.93","254.13","228.08","-","-8.54%"
"Aug 86","252.93","236.12","254.24","231.92","-","7.12%"
"Jul 86","236.12","250.67","253.20","233.07","-","-5.87%"
"Jun 86","250.84","246.04","251.81","238.23","-","1.41%"
"May 86","247.35","235.52","249.19","232.26","-","5.02%"
"Apr 86","235.52","238.90","245.47","226.30","-","-1.41%"
"Mar 86","238.90","226.92","240.11","222.18","-","5.28%"
"Feb 86","226.92","211.78","227.92","210.82","-","7.15%"
"Jan 86","211.78","211.28","214.57","202.60","-","0.24%"
"Dec 85","211.28","202.17","213.08","200.10","-","4.51%"
"Nov 85","202.17","189.82","203.40","189.37","-","6.51%"
"Oct 85","189.82","182.06","190.15","181.16","-","4.25%"
"Sep 85","182.08","188.63","188.80","179.45","-","-3.47%"
"Aug 85","188.63","190.92","192.17","186.10","-","-1.20%"
"Jul 85","190.92","191.85","196.07","189.30","-","-0.48%"
"Jun 85","191.85","189.55","191.85","185.03","-","1.21%"
"May 85","189.55","179.83","189.98","178.35","-","5.41%"
"Apr 85","179.83","180.66","183.61","177.86","-","-0.46%"
"Mar 85","180.66","181.18","183.89","176.53","-","-0.29%"
"Feb 85","181.18","179.63","183.95","177.75","-","0.86%"
"Jan 85","179.63","167.20","180.27","163.36","-","7.41%"
"Dec 84","167.24","163.58","169.03","161.54","-","2.24%"
"Nov 84","163.58","166.09","170.41","162.99","-","-1.51%"
"Oct 84","166.09","166.10","169.62","160.02","-","-0.01%"
"Sep 84","166.10","166.68","169.65","163.06","-","-0.35%"
"Aug 84","166.68","150.66","168.80","150.66","-","10.63%"
"Jul 84","150.66","153.16","153.87","147.26","-","-1.65%"
"Jun 84","153.18","150.55","155.64","148.53","-","1.75%"
"May 84","150.55","160.05","162.11","148.68","-","-5.94%"
"Apr 84","160.05","159.18","160.69","154.12","-","0.55%"
"Mar 84","159.18","157.06","160.46","153.77","-","1.35%"
"Feb 84","157.06","163.41","164.00","152.13","-","-3.89%"
"Jan 84","163.41","164.93","169.54","162.03","-","-0.92%"
"Dec 83","164.93","166.37","166.77","161.58","-","-0.88%"
"Nov 83","166.40","163.55","168.07","161.63","-","1.74%"
"Oct 83","163.55","165.99","172.65","162.86","-","-1.52%"
"Sep 83","166.07","164.40","170.41","163.95","-","1.02%"
"Aug 83","164.40","162.34","165.91","158.50","-","1.13%"
"Jul 83","162.56","168.11","170.72","161.50","-","-3.03%"
"Jun 83","167.64","162.38","171.60","160.80","-","3.23%"
"May 83","162.39","164.41","166.99","160.29","-","-1.24%"
"Apr 83","164.43","152.92","164.43","150.17","-","7.50%"
"Mar 83","152.96","148.07","155.02","148.07","-","3.31%"
"Feb 83","148.06","145.29","150.88","141.90","-","1.90%"
"Jan 83","145.30","140.65","148.36","138.08","-","3.31%"
"Dec 82","140.64","138.56","143.68","134.79","-","1.52%"
"Nov 82","138.53","133.72","144.36","132.89","-","3.60%"
"Oct 82","133.72","120.40","140.40","120.15","-","11.04%"
"Sep 82","120.42","119.52","126.43","117.84","-","0.76%"
"Aug 82","119.51","107.71","120.26","102.20","-","11.60%"
"Jul 82","107.09","109.52","112.39","105.57","-","-2.30%"
"Jun 82","109.61","111.97","112.48","107.01","-","-2.03%"
"May 82","111.88","115.96","119.92","111.66","-","-3.92%"
"Apr 82","116.44","111.96","119.33","111.48","-","4.00%"
"Mar 82","111.96","113.11","114.80","104.46","-","-1.02%"
"Feb 82","113.11","119.81","119.81","110.03","-","-6.05%"
"Jan 82","120.40","122.55","123.72","113.63","-","-1.75%"
"Dec 81","122.55","126.35","127.32","121.04","-","-3.01%"
"Nov 81","126.35","122.35","126.97","119.13","-","3.66%"
"Oct 81","121.89","116.18","123.28","115.00","-","4.91%"
"Sep 81","116.18","122.79","124.58","110.19","-","-5.38%"
"Aug 81","122.79","130.92","135.18","122.29","-","-6.21%"
"Jul 81","130.92","130.01","131.78","125.96","-","-0.22%"
"Jun 81","131.21","132.59","135.67","128.77","-","-1.04%"
"May 81","132.59","132.81","134.92","128.78","-","-0.17%"
"Apr 81","132.81","136.00","137.72","131.58","-","-2.35%"
"Mar 81","136.00","131.27","138.38","128.56","-","3.60%"
"Feb 81","131.27","129.48","132.02","124.66","-","1.33%"
"Jan 81","129.55","135.76","140.32","128.57","-","-4.57%"
"Dec 80","135.76","140.52","140.66","125.32","-","-3.39%"
"Nov 80","140.52","127.47","141.96","127.23","-","10.24%"
"Oct 80","127.47","125.46","135.88","124.66","-","1.60%"
"Sep 80","125.46","122.38","132.17","121.79","-","2.52%"
"Aug 80","122.38","121.67","127.78","119.42","-","0.58%"
"Jul 80","121.67","114.24","123.93","113.54","-","6.50%"
"Jun 80","114.24","111.24","117.98","109.77","-","2.70%"
"May 80","111.24","106.29","112.72","103.50","-","4.66%"
"Apr 80","106.29","102.09","106.79","98.95","-","4.11%"
"Mar 80","102.09","113.66","114.34","94.23","-","-10.18%"
"Feb 80","113.66","114.16","120.22","111.33","-","-0.44%"
"Jan 80","114.16","107.94","117.17","103.26","-","5.76%"
"Dec 79","107.94","106.16","110.33","105.07","-","1.68%"
"Nov 79","106.16","101.82","107.89","99.42","-","4.26%"
"Oct 79","101.82","109.19","112.16","99.06","-","-6.86%"
"Sep 79","109.32","109.32","111.58","105.38","-","0.00%"
"Aug 79","109.32","103.81","109.84","103.14","-","5.31%"
"Jul 79","103.81","102.91","105.17","100.35","-","0.87%"
"Jun 79","102.91","99.08","103.67","98.57","-","3.87%"
"May 79","99.08","101.76","102.57","97.49","-","-2.63%"
"Apr 79","101.76","101.56","103.95","100.14","-","0.17%"
"Mar 79","101.59","96.28","103.31","95.98","-","5.52%"
"Feb 79","96.28","99.93","100.52","95.38","-","-3.65%"
"Jan 79","99.93","96.11","102.59","95.22","-","3.97%"
"Dec 78","96.11","95.01","98.58","92.64","-","1.49%"
"Nov 78","94.70","94.13","97.41","91.77","-","1.66%"
"Oct 78","93.15","102.54","106.23","91.65","-","-9.16%"
"Sep 78","102.54","103.29","108.05","100.66","-","-0.73%"
"Aug 78","103.29","100.68","106.27","99.95","-","2.59%"
"Jul 78","100.68","95.53","101.18","93.59","-","5.39%"
"Jun 78","95.53","97.24","101.84","93.99","-","-1.76%"
"May 78","97.24","96.83","100.32","94.57","-","0.42%"
"Apr 78","96.83","89.20","97.91","88.07","-","8.54%"
"Mar 78","89.21","87.04","91.35","86.45","-","2.49%"
"Feb 78","87.04","89.25","91.32","86.58","-","-2.48%"
"Jan 78","89.25","95.10","95.15","88.02","-","-6.15%"
"Dec 77","95.10","94.83","95.67","91.76","-","0.28%"
"Nov 77","94.83","92.19","97.11","90.01","-","2.70%"
"Oct 77","92.34","96.53","97.27","90.20","-","-4.34%"
"Sep 77","96.53","96.77","98.43","94.44","-","-0.25%"
"Aug 77","96.77","98.85","99.84","95.04","-","-2.10%"
"Jul 77","98.85","100.48","102.57","97.71","-","-1.62%"
"Jun 77","100.48","96.12","101.65","95.89","-","4.54%"
"May 77","96.12","98.44","100.93","95.52","-","-2.36%"
"Apr 77","98.44","98.42","102.07","96.53","-","0.02%"
"Mar 77","98.42","99.82","102.70","97.80","-","-1.40%"
"Feb 77","99.82","102.03","103.32","98.82","-","-2.17%"
"Jan 77","102.03","107.46","107.97","100.91","-","-5.05%"
"Dec 76","107.46","102.10","107.82","101.62","-","5.25%"
"Nov 76","102.10","102.90","103.78","98.18","-","-0.78%"
"Oct 76","102.90","105.24","105.75","99.21","-","-2.22%"
"Sep 76","105.24","102.91","108.72","102.60","-","2.26%"
"Aug 76","102.91","103.44","105.41","100.43","-","-0.51%"
"Jul 76","103.44","104.28","106.78","102.31","-","-0.81%"
"Jun 76","104.28","100.18","105.07","97.97","-","4.09%"
"May 76","100.18","101.64","103.99","98.26","-","-1.44%"
"Apr 76","101.64","102.77","104.63","99.57","-","-1.10%"
"Mar 76","102.77","99.71","104.39","98.23","-","3.07%"
"Feb 76","99.71","100.86","103.07","98.50","-","-1.14%"
"Jan 76","100.86","100.11","101.99","89.81","-","11.83%"
"Dec 75","90.19","91.24","91.90","86.15","-","-1.15%"
"Nov 75","91.24","89.04","92.33","87.63","-","2.47%"
"Oct 75","89.04","83.87","91.75","82.57","-","6.16%"
"Sep 75","83.87","86.88","87.42","81.57","-","-3.46%"
"Aug 75","86.88","88.75","89.04","82.21","-","-2.11%"
"Jul 75","88.75","95.19","96.58","87.68","-","-6.77%"
"Jun 75","95.19","91.32","95.85","89.30","-","4.43%"
"May 75","91.15","87.30","93.51","86.94","-","4.41%"
"Apr 75","87.30","83.36","88.79","79.66","-","4.73%"
"Mar 75","83.36","81.59","87.08","80.08","-","2.17%"
"Feb 75","81.59","76.98","83.56","76.00","-","5.99%"
"Jan 75","76.98","68.65","78.69","68.65","-","12.28%"
"Dec 74","68.56","69.80","69.80","64.13","-","-2.02%"
"Nov 74","69.97","73.90","77.41","66.85","-","-5.32%"
"Oct 74","73.90","63.54","75.90","60.96","-","16.30%"
"Sep 74","63.54","72.15","73.01","62.52","-","-11.93%"
"Aug 74","72.15","79.31","83.53","69.37","-","-9.03%"
"Jul 74","79.31","86.00","86.89","78.96","-","-7.78%"
"Jun 74","86.00","87.28","93.76","85.13","-","-1.47%"
"May 74","87.28","90.31","93.59","85.87","-","-3.36%"
"Apr 74","90.31","93.98","95.42","88.62","-","-3.91%"
"Mar 74","93.98","96.22","101.05","93.44","-","-2.33%"
"Feb 74","96.22","96.57","97.43","89.53","-","-0.36%"
"Jan 74","96.57","97.55","100.94","91.62","-","-1.00%"
"Dec 73","97.55","95.83","99.09","91.05","-","1.66%"
"Nov 73","95.96","108.29","109.20","94.88","-","-11.39%"
"Oct 73","108.29","108.43","112.82","107.08","-","-0.13%"
"Sep 73","108.43","104.25","110.45","102.13","-","4.01%"
"Aug 73","104.25","108.17","108.17","99.74","-","-3.67%"
"Jul 73","108.22","104.10","111.04","100.44","-","3.80%"
"Jun 73","104.26","104.95","109.52","101.45","-","-0.66%"
"May 73","104.95","106.97","112.25","101.36","-","-1.89%"
"Apr 73","106.97","111.52","113.65","105.44","-","-4.08%"
"Mar 73","111.52","111.68","115.61","107.41","-","-0.14%"
"Feb 73","111.68","116.03","118.98","109.80","-","-3.75%"
"Jan 73","116.03","118.06","121.74","114.97","-","-1.71%"
"Dec 72","118.05","116.67","119.79","114.63","-","1.18%"
"Nov 72","116.67","111.58","117.91","111.32","-","4.56%"
"Oct 72","111.58","110.55","112.26","106.27","-","0.93%"
"Sep 72","110.55","111.09","112.12","107.35","-","-0.49%"
"Aug 72","111.09","107.39","113.45","107.06","-","3.45%"
"Jul 72","107.39","107.14","110.27","104.43","-","0.23%"
"Jun 72","107.14","109.53","110.51","105.94","-","-2.18%"
"May 72","109.53","107.67","111.48","103.83","-","1.73%"
"Apr 72","107.67","107.20","111.11","106.18","-","0.44%"
"Mar 72","107.20","106.57","109.75","105.86","-","0.59%"
"Feb 72","106.57","103.94","107.16","103.10","-","2.53%"
"Jan 72","103.94","102.09","105.00","100.87","-","1.81%"
"Dec 71","102.09","93.99","102.21","93.95","-","8.62%"
"Nov 71","93.99","94.23","96.08","89.34","-","-0.25%"
"Oct 71","94.23","98.34","100.96","92.96","-","-4.18%"
"Sep 71","98.34","99.03","102.25","96.97","-","-0.70%"
"Aug 71","99.03","95.58","101.51","92.81","-","3.61%"
"Jul 71","95.58","99.16","101.52","95.08","-","-3.16%"
"Jun 71","98.70","99.63","102.07","96.92","-","-0.93%"
"May 71","99.63","103.95","104.42","98.68","-","-4.16%"
"Apr 71","103.95","100.31","105.60","99.63","-","3.63%"
"Mar 71","100.31","96.75","102.03","96.11","-","3.68%"
"Feb 71","96.75","95.88","99.59","94.92","-","0.91%"
"Jan 71","95.88","92.15","96.49","90.64","-","4.05%"
"Dec 70","92.15","87.20","92.99","86.11","-","5.68%"
"Nov 70","87.20","83.25","87.60","82.23","-","4.74%"
"Oct 70","83.25","84.30","87.75","82.29","-","-1.25%"
"Sep 70","84.30","81.52","84.99","79.95","-","3.41%"
"Aug 70","81.52","78.05","82.47","74.13","-","4.45%"
"Jul 70","78.05","78.07","79.03","70.69","-","7.33%"
"Jun 70","72.72","76.55","79.96","72.25","-","-5.00%"
"May 70","76.55","81.52","82.32","68.61","-","-6.10%"
"Apr 70","81.52","89.63","90.70","79.31","-","-9.05%"
"Mar 70","89.63","89.50","91.07","86.19","-","0.15%"
"Feb 70","89.50","85.02","90.33","84.64","-","5.27%"
